contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']"
replaced,"['restored', 'recovered', 'regained', 'retrieved']"
restored,"['returned', 'replaced', 'repaired']"
repaired,"['corrected', 'improved', 'rebuilt', 'settled', 'restored', 'adjusted', 'righted']"
corrected,"['changed', 'reformed']"
reformed,"['improved', 'corrected', 'altered', 'transformed']"
improved,"['corrected', 'repaired', 'reformed', 'enhanced', 'elaborated', 'bettered']"
well,"['strong', 'together', 'sound', 'trim', 'great', 'right', 'fit', 'fine', 'whole', 'fresh']"
together,"['calm', 'stable']"
whole,"['perfect', 'full', 'all', 'exclusive', 'gross', 'total', 'accomplished', 'completed', 'concentrated', 'every', 'fixed', 'rounded']"
every,['whole']
developed,['advanced']
advanced,"['progressive', 'leading', 'forward', 'excellent', 'extreme', 'first', 'higher', 'late', 'liberal', 'radical']"
liberal,"['radical', 'flexible', 'broad', 'free', 'general', 'rational', 'understanding', 'left', 'advanced', 'intelligent', 'interested', 'loose', 'reasonable', 'receiving']"
understanding,"['generous', 'forgiving', 'sensitive', 'kind', 'patient']"
forgiving,"['kind', 'accepting']"
patient,"['gentle', 'forgiving', 'calm', 'quiet', 'understanding', 'accommodating', 'composed', 'enduring', 'mild', 'philosophical', 'resigned']"
accommodating,"['generous', 'helpful', 'friendly', 'cooperative', 'kind']"
frustrated,"['defeated', 'discouraged']"
defeated,"['overcome', 'crushed']"
overcome,"['affected', 'beaten', 'defeated', 'buried', 'taken']"
beaten,"['overwhelmed', 'frustrated', 'overcome', 'disappointed', 'ruined', 'routed', 'bested', 'crushed', 'mastered', 'cowed']"
overwhelmed,"['affected', 'moved', 'upset']"
disappointed,"['discouraged', 'complaining', 'beaten', 'upset', 'defeated', 'down', 'depressed', 'frustrated', 'unhappy', 'objecting']"
discouraged,"['depressed', 'blue', 'down', 'beat', 'sad']"
depressed,"['unhappy', 'sad', 'destroyed', 'down', 'low', 'bad', 'ripped', 'hurting', 'dragged']"
unhappy,"['depressed', 'sorry', 'troubled', 'destroyed', 'low', 'dragged', 'hurting', 'ripped']"
destroyed,"['lost', 'ruined', 'broken', 'overwhelmed', 'blasted', 'wasted', 'consumed', 'sacked', 'killed', 'totaled', 'gutted']"
ruined,"['collapsed', 'crushed', 'crashed', 'totaled']"
intact,"['perfect', 'complete', 'entire', 'sound', 'together', 'whole']"
healthy,"['tough', 'normal', 'athletic', 'fresh', 'active', 'strong', 'firm', 'fit', 'restored', 'sound', 'trim', 'well', 'whole']"
athletic,"['powerful', 'active', 'strong', 'fit']"
raped,['abused']
reduced,"['concentrated', 'decreased', 'diminished', 'shrunk', 'contracted']"
raised,"['built', 'lifted', 'constructed']"
educated,"['skilled', 'informed', 'accomplished', 'prepared', 'trained', 'intelligent', 'initiated', 'developed', 'corrected', 'instructed', 'finished', 'taught', 'fitted', 'expert', 'literary', 'professional', 'scientific', 'schooled', 'coached', 'shaped', 'formed']"
informed,"['learned', 'primed', 'expert', 'familiar', 'reliable', 'briefed', 'posted']"
learned,"['educated', 'scientific', 'studied', 'accomplished', 'sound', 'experienced', 'grave', 'academic', 'expert', 'intellectual', 'literary', 'philosophical', 'sharp', 'skilled', 'solid', 'grounded', 'posted']"
grave,"['heavy', 'quiet', 'meaningful', 'sad', 'staid']"
staid,"['calm', 'collected', 'composed', 'cool', 'formal', 'grave', 'quiet', 'serious', 'settled', 'steady']"
fun,"['pleasant', 'entertaining']"
pressing,"['crucial', 'demanding', 'compelling', 'vital', 'immediate', 'serious', 'critical', 'instant', 'burning', 'requiring', 'exacting', 'crying', 'claiming', 'forcing']"
instant,"['prompt', 'contemporary', 'fast', 'current', 'pressing', 'quick', 'present', 'direct']"
future,"['subsequent', 'planned', 'ultimate', 'unfolding', 'inevitable', 'approaching', 'final', 'coming', 'booked', 'later', 'likely', 'near', 'next', 'scheduled', 'up', 'budgeted']"
inevitable,"['necessary', 'binding', 'pat', 'assured', 'decided', 'determined', 'fixed', 'settled', 'sure']"
approaching,"['coming', 'advancing']"
booked,"['reserved', 'engaged', 'billed', 'contracted']"
billed,[]
charged,"['owed', 'owing']"
filled,['full']
budgeted,"['total', 'account', 'cost', 'means', 'funds', 'bulk', 'statement', 'finances', 'resources', 'quantity']"
requiring,"['demanding', 'pressing', 'compelling', 'exacting', 'immediate', 'forcing', 'involving']"
crying,[]
deadly,"['dangerous', 'cruel', 'bloody', 'toxic', 'violent', 'fatal', 'destroying', 'killing']"
cruel,"['harsh', 'bitter', 'evil', 'brutal', 'painful', 'fierce', 'hard']"
painful,"['hard', 'terrible', 'severe', 'uncomfortable', 'awful', 'difficult', 'biting', 'burning', 'extreme', 'raw', 'sensitive', 'sharp', 'tender', 'trying', 'smarting', 'hurting']"
uncomfortable,"['harsh', 'hard', 'bitter', 'difficult']"
difficult,"['crucial', 'tough', 'demanding', 'severe', 'ambitious', 'painful', 'exacting', 'heavy', 'labored', 'problem', 'stiff', 'trying', 'challenging']"
confusing,"['upsetting', 'complex', 'complicated', 'difficult', 'involved']"
subtle,"['faint', 'slight', 'profound', 'sophisticated', 'deep', 'fine', 'implied', 'mental', 'thin']"
embarrassed,[]
smarting,"['burning', 'raw', 'tender', 'sharp', 'trying', 'extreme', 'sensitive', 'biting', 'difficult', 'hard', 'severe', 'terrible', 'uncomfortable', 'hurting']"
bloody,"['wounded', 'open', 'raw']"
blasted,"['blessed', 'bloody', 'damn', 'blamed']"
blamed,"['blessed', 'bloody', 'damn', 'blasted']"
much,"['enough', 'great', 'full', 'adequate', 'complete', 'considerable', 'endless', 'everywhere', 'generous', 'many', 'satisfying', 'substantial', 'sufficient', 'loads']"
enough,"['suitable', 'sufficient', 'full', 'adequate', 'acceptable', 'comfortable', 'complete', 'decent', 'satisfying']"
adequate,"['fair', 'capable', 'decent', 'sufficient', 'suitable', 'acceptable', 'equal', 'comfortable']"
lacking,"['short', 'needed', 'missing', 'without', 'needing']"
missing,"['away', 'removed', 'lost', 'short', 'lacking', 'wanting', 'disappeared']"
wanting,"['gone', 'short', 'missing', 'shy', 'failing', 'needed', 'empty', 'away', 'less', 'poor', 'cooked']"
failing,"['short', 'shy', 'faint', 'defeated', 'wanting', 'declining']"
endless,"['continuous', 'constant', 'enduring']"
interrupted,"['delayed', 'broken', 'suspended', 'checked']"
suspended,['hanging']
ceasing,"['quit', 'fail', 'finish', 'end', 'die', 'drop', 'stay', 'close']"
many,"['crowded', 'frequent', 'numerous', 'several', 'varied', 'various']"
crowded,"['full', 'loaded', 'packed', 'clean', 'stuffed', 'close', 'dense', 'thick', 'tight', 'crushed']"
packed,"['crowded', 'stuffed', 'wrapped', 'loaded', 'filled', 'arranged']"
wrapped,['protected']
dense,"['heavy', 'solid', 'close', 'crowded', 'packed', 'substantial', 'piled']"
piled,"['mountain', 'chunk', 'hill', 'mass', 'ocean', 'stack', 'quantity', 'shock', 'drift', 'much', 'bank', 'barrel', 'pack']"
scattered,"['distributed', 'separated', 'separate', 'sprinkled']"
distributed,"['shared', 'scattered', 'divided', 'assigned', 'appropriated', 'budgeted', 'dealt']"
shared,"['common', 'mutual']"
divided,"['split', 'apart']"
assembled,['met']
widespread,"['broad', 'common', 'comprehensive', 'current', 'epidemic', 'general', 'overall', 'popular', 'prevailing', 'public', 'ruling', 'sweeping', 'universal']"
few,"['minority', 'less', 'slight', 'lean', 'short', 'minute', 'scattering', 'minor', 'occasional', 'rare', 'scattered', 'seldom', 'some', 'thin']"
minute,"['precise', 'tiny', 'minimal', 'little', 'fine', 'exact', 'invisible']"
tiny,"['slight', 'little', 'minimum', 'minute', 'pocket']"
pocket,"['canned', 'little', 'minute', 'tiny']"
tall,"['great', 'big', 'soaring', 'towering', 'giant']"
impossible,['beyond']
significant,"['powerful', 'symbolic', 'important', 'compelling', 'serious', 'convincing', 'heavy', 'knowing', 'meaning', 'pregnant', 'representative', 'rich', 'sound', 'valid', 'expressing']"
symbolic,"['significant', 'typical', 'characteristic']"
convincing,"['satisfying', 'impressive', 'solid', 'reliable', 'powerful', 'reasonable', 'telling', 'sound', 'moving', 'acceptable', 'likely', 'possible', 'rational', 'valid']"
telling,"['satisfying', 'striking', 'powerful', 'devastating', 'convincing', 'sound', 'solid', 'marked', 'considerable', 'crucial', 'important', 'impressive', 'influential', 'valid']"
devastating,['overwhelming']
overwhelming,"['devastating', 'amazing', 'vast', 'exciting', 'crushing', 'overcoming']"
pregnant,"['expecting', 'heavy', 'productive', 'anticipating']"
expecting,['carrying']
material,"['actual', 'substantial', 'physical', 'real', 'concrete', 'animal', 'objective', 'true']"
physical,"['real', 'substantial', 'natural', 'concrete', 'gross', 'objective', 'solid', 'visible']"
concrete,"['detailed', 'real', 'solid', 'material', 'specific', 'particular', 'objective', 'accurate', 'explicit', 'precise', 'substantial']"
psychological,"['emotional', 'mental', 'intellectual', 'experimental']"
experimental,"['preliminary', 'beginning', 'laboratory', 'pilot', 'primary', 'temporary', 'test', 'trial']"
preliminary,"['prior', 'opening', 'primary', 'trial', 'fundamental', 'basic', 'test', 'pilot', 'first', 'elementary', 'preparing', 'qualifying', 'readying']"
trial,"['preliminary', 'test', 'balloon', 'testing', 'pilot']"
elementary,"['underlying', 'fundamental', 'beginning', 'clear', 'easy', 'essential', 'initial', 'original', 'plain', 'preliminary', 'primary', 'simplest']"
simplest,"['plain', 'smooth', 'quiet', 'clean', 'elementary', 'light', 'mild']"
older,"['earlier', 'elder', 'first', 'former', 'lower', 'prior', 'senior', 'eldest']"
elder,"['older', 'senior', 'ancient', 'earlier']"
senior,"['leading', 'elder', 'superior', 'major', 'chief', 'higher', 'more advanced']"
younger,"['new', 'raw', 'adolescent', 'modern', 'infant', 'growing', 'tender', 'little', 'junior', 'recent', 'early', 'fresh', 'developing']"
adult,"['developed', 'grown']"
grown,"['developed', 'adult']"
youngest,"['new', 'raw', 'adolescent', 'modern', 'infant', 'growing', 'tender', 'little', 'junior', 'recent', 'early', 'fresh', 'developing']"
eldest,"['gray', 'ancient', 'tired', 'elderly', 'aged', 'senior', 'veteran', 'exhausted', 'experienced', 'seasoned', 'skilled']"
veteran,"['skilled', 'trained', 'wise', 'expert', 'steady', 'old', 'practical', 'practiced', 'sophisticated', 'exercised', 'weathered']"
green,"['raw', 'tender', 'fresh', 'infant', 'growing', 'recent', 'developing']"
dying,"['fading', 'sinking', 'vanishing', 'going', 'passing', 'final', 'declining']"
fading,"['dying', 'paling']"
vanishing,"['fading', 'going']"
innocent,"['pure', 'legitimate', 'honest', 'good', 'clear', 'safe', 'clean', 'legal']"
guilty,"['responsible', 'wrong', 'sorry', 'caught', 'condemned', 'criminal', 'damned', 'evil', 'convicted', 'judged', 'sentenced']"
responsible,"['guilty', 'important', 'subject', 'bonded', 'bound', 'engaged', 'executive', 'exposed', 'held', 'high', 'open', 'tied', 'compelled', 'contracted']"
subject,"['exposed', 'sensitive', 'likely', 'dependent', 'secondary', 'vulnerable', 'directed', 'satellite', 'controlled', 'governed', 'open', 'ruled', 'under']"
governed,"['directed', 'driven', 'led', 'administered', 'guided', 'overseen', 'conducted', 'mastered', 'commanded']"
driven,"['directed', 'forced', 'possessed', 'ambitious', 'motivated', 'consumed', 'pushed', 'steered', 'guided']"
regulated,"['managed', 'organized', 'directed', 'set', 'ordered', 'adapted', 'governed', 'fixed', 'settled', 'ruled', 'monitored', 'coordinated', 'adjusted', 'arranged']"
managed,"['educated', 'handled', 'influenced', 'primed', 'urged', 'driven', 'taught', 'instructed', 'persuaded', 'coached', 'guided', 'counseled']"
handled,"['directed', 'organized', 'managed']"
primed,"['ready', 'informed', 'fit', 'prepared', 'able']"
urged,"['favored', 'recommended', 'praised', 'backed', 'endorsed', 'approved', 'advanced', 'aided', 'promoted', 'boosted', 'adopted', 'pushed']"
praised,"['celebrated', 'blessed', 'helped', 'aided']"
condemned,"['damned', 'convicted']"
damned,"['lost', 'bad', 'condemned', 'blasted', 'unhappy']"
requested,"['needed', 'hunted', 'sought', 'desired', 'wished', 'demanded', 'appealed', 'asked']"
hunted,"['dogged', 'wanted', 'trailed', 'chased', 'tailed', 'followed']"
wanted,"['needed', 'necessary', 'requested']"
tailed,"['rear', 'end', 'reverse', 'train', 'behind', 'tag', 'conclusion']"
rear,"['last', 'reverse', 'behind', 'tail', 'following', 'after']"
front,"['head', 'leading', 'forward', 'advanced', 'first', 'ahead']"
sought,"['hunted', 'needed', 'desired']"
wished,"['longing', 'intention', 'prayer', 'request', 'choice', 'will', 'preference', 'ambition', 'hope', 'urge', 'hunger', 'want', 'pleasure', 'liking']"
longing,"['eager', 'anxious', 'hungry', 'pining']"
hungry,"['eager', 'empty']"
choice,"['prime', 'preferred', 'excellent', 'elect', 'prize', 'exclusive', 'fine', 'winner', 'valuable', 'elite', 'special', 'nice', 'popular', 'precious', 'rare', 'select', 'unusual']"
prize,"['outstanding', 'prime', 'champion', 'top', 'choice', 'pick', 'winning', 'elite']"
winning,"['successful', 'leading', 'champion']"
losing,"['falling', 'defeated', 'failing', 'ruined']"
desperate,"['daring', 'dangerous', 'bold', 'violent', 'determined', 'wild', 'risky', 'shocking']"
elite,"['exclusive', 'elect', 'top', 'pick', 'choice', 'super', 'selected', 'greatest']"
greatest,"['huge', 'enormous', 'tremendous', 'big', 'terrible', 'high', 'strong', 'considerable', 'vast', 'extreme', 'fat', 'bull', 'decided', 'excessive', 'extended', 'extensive', 'long', 'numerous', 'towering']"
capital,"['central', 'prime', 'major', 'dominant', 'leading', 'primary', 'chief', 'fundamental', 'basic', 'principal', 'first', 'controlling', 'important', 'outstanding', 'prominent', 'underlying', 'vital']"
crack,"['superior', 'expert', 'choice', 'capital', 'elite', 'best', 'able', 'excellent', 'skilled', 'talented']"
best,"['perfect', 'finest', 'tough', 'outstanding', 'leading', 'terrific', 'first', 'prime', 'premium', 'champion', 'chief', 'capital', 'super', 'principal', 'highest', 'tops', 'choicest', 'greatest']"
premium,"['prime', 'superior', 'choice', 'select', 'selected']"
highest,"['best', 'capital', 'chief', 'head', 'maximum', 'most', 'principal', 'top']"
maximum,"['top', 'outside', 'ultimate', 'best', 'most', 'largest', 'biggest', 'greatest']"
most,"['better', 'greater', 'highest', 'largest', 'maximum', 'ultimate', 'biggest']"
better,"['superior', 'improved', 'sophisticated', 'preferred', 'choice', 'prominent', 'greater', 'larger', 'exceeding', 'fitter', 'bigger', 'finer', 'more appropriate', 'more select', 'more suitable', 'more useful', 'more valuable']"
greater,"['cooler', 'higher', 'larger', 'largest', 'leading', 'most', 'outstanding', 'super', 'terrific']"
larger,"['largest', 'better', 'greater', 'more', 'most', 'bigger', 'longer']"
largest,"['larger', 'better', 'greater', 'most', 'biggest', 'greatest']"
biggest,"['huge', 'enormous', 'full', 'tremendous', 'fat', 'substantial', 'massive', 'considerable', 'vast', 'crowded', 'extensive', 'packed', 'stuffed']"
baby,"['little', 'small', 'minute', 'tiny']"
proud,"['great', 'honored', 'satisfied', 'glad', 'content', 'contented', 'fine', 'grand', 'imposing', 'impressive', 'rewarding', 'satisfying']"
glad,"['contented', 'pleased', 'willing', 'cheering', 'pleasing', 'gay', 'beaming', 'beautiful', 'bright', 'pleasant', 'up']"
cheering,"['comforting', 'promising', 'bright']"
promising,"['talented', 'gifted', 'encouraging', 'bright', 'rising', 'able', 'favorable', 'happy', 'likely', 'lucky', 'assuring']"
rising,"['soaring', 'growing', 'increasing', 'mounting', 'emerging', 'advancing']"
increasing,"['growing', 'rising', 'booming', 'swelling', 'expanding', 'developing']"
gay,"['wild', 'forward', 'glad', 'confident', 'sunny']"
brave,"['daring', 'confident', 'strong', 'firm', 'game', 'forward']"
beaming,"['bright', 'brilliant', 'flashing']"
frowning,[]
bigger,"['huge', 'enormous', 'full', 'tremendous', 'fat', 'substantial', 'massive', 'considerable', 'vast', 'crowded', 'extensive', 'packed', 'stuffed']"
longer,"['great', 'deep', 'high', 'tall', 'stretch', 'running', 'enduring', 'towering', 'sustained', 'distant', 'extensive', 'remote', 'expanded', 'stretching', 'stretched', 'continued']"
sustained,"['constant', 'continuous', 'backed', 'supported', 'continued']"
fitter,"['wise', 'capable', 'able', 'prepared', 'qualified', 'happy', 'right', 'becoming', 'due', 'fitting', 'correspondent', 'deserving', 'trained', 'equipped', 'ready', 'meet', 'adapted', 'correct', 'fitted', 'adequate', 'favorable', 'just', 'likely', 'proper']"
deserving,"['fitting', 'due']"
adapted,"['fitting', 'becoming']"
fitted,"['qualified', 'equipped', 'adapted', 'suited', 'proper', 'suitable']"
finer,"['beautiful', 'outstanding', 'elegant', 'subtle', 'expensive', 'superior', 'handsome', 'striking', 'attractive', 'lovely', 'smart', 'pleasant', 'great', 'rare', 'solid', 'accomplished', 'top', 'capital', 'choice', 'select', 'mean']"
handsome,"['beautiful', 'athletic', 'smooth', 'elegant', 'lovely', 'smart', 'becoming', 'fair', 'fine', 'impressive', 'sharp', 'strong']"
wrinkled,"['folded', 'lined']"
lined,"['stuffed', 'coated', 'faced', 'brushed']"
worse,"['poor', 'bad', 'ill']"
smaller,"['less', 'lesser', 'lower', 'minor', 'shorter']"
shorter,"['less', 'lower', 'reduced', 'briefer', 'diminished']"
briefer,"['limited', 'little', 'small', 'sharp']"
short-term,"['limited', 'acting', 'brief', 'passing', 'short', 'summary', 'supply', 'shifting']"
taller,"['great', 'big', 'soaring', 'towering', 'giant']"
sicker,"['disordered', 'down', 'suffering', 'peaked', 'ill', 'mean', 'delicate', 'weak', 'declining']"
bored,"['fatigued', 'tired']"
littler,"['slight', 'limited', 'infant', 'short', 'light', 'young', 'brief', 'toy', 'peanut', 'junior', 'minute', 'tiny']"
barely,"['almost', 'hardly', 'just']"
tinier,"['slight', 'little', 'minimum', 'minute', 'pocket']"
improving,"['fixing', 'developing', 'repairing', 'bettering', 'elaborating', 'correcting']"
repairing,"['improvement', 'adjustment', 'rehabilitation', 'replacement', 'patch']"
breaking,"['collapsing', 'splitting', 'cracking', 'tearing']"
recovering,"['improving', 'better', 'improved']"
healthier,"['clean', 'fresh', 'healing', 'helpful', 'pure', 'stimulating', 'useful', 'aiding', 'sustaining']"
stimulating,"['inspiring', 'interesting', 'appealing', 'gripping', 'moving', 'stirring', 'challenging']"
stronger,"['firm', 'heavy', 'secure', 'tough', 'capable', 'solid', 'big', 'able', 'steady', 'athletic', 'substantial', 'stable', 'active', 'enduring', 'fixed', 'reinforced', 'sound']"
reinforced,"['backed', 'strengthened', 'assisted', 'banded']"
handful,"['sprinkling', 'scattering', 'few', 'some']"
scattering,"['few', 'scattered', 'some']"
some,['any']
loud,"['heavy', 'ringing', 'big', 'powerful', 'strong', 'intense', 'deep', 'full', 'booming', 'crashing']"
ringing,"['booming', 'loud', 'full', 'rich', 'deep', 'beating', 'round', 'powerful', 'profound', 'echoing', 'enhanced']"
crashing,"['sheer', 'total', 'complete', 'plain', 'pure']"
worst,"['lowest', 'bad', 'least']"
smallest,"['littlest', 'basic', 'essential', 'fundamental', 'least', 'lowest', 'minimum']"
littlest,"['smallest', 'basic', 'essential', 'fundamental', 'least', 'lowest', 'minimum']"
choicest,"['prime', 'preferred', 'excellent', 'elect', 'prize', 'exclusive', 'fine', 'winner', 'valuable', 'elite', 'special', 'nice', 'popular', 'precious', 'rare', 'select', 'unusual']"
precious,"['beloved', 'dear', 'loved', 'pet', 'dearest', 'prized', 'treasured']"
dearest,"['pet', 'familiar', 'close', 'intimate', 'loved', 'precious', 'respected', 'prized', 'treasured']"
poorest,"['low', 'suffering', 'reduced']"
fewest,"['minority', 'less', 'slight', 'lean', 'short', 'minute', 'scattering', 'minor', 'occasional', 'rare', 'scattered', 'seldom', 'some', 'thin']"
noted,"['leading', 'recognized', 'well-known', 'distinguished', 'prominent', 'celebrated', 'star', 'name', 'popular', 'somebody']"
paged,"['sought', 'requested']"
advised,['considered']
taught,"['directed', 'educated', 'informed', 'trained', 'learned', 'coached']"
instructed,"['advised', 'informed', 'learned', 'educated', 'briefed']"
ruled,"['controlled', 'managed', 'administered']"
master,"['skilled', 'experienced']"
bonded,['secured']
executive,"['ruling', 'governing', 'controlling', 'managing', 'directing']"
excused,"['permitted', 'freed']"
immune,"['clear', 'safe', 'free', 'favored', 'licensed', 'protected', 'allowed']"
caught,"['arrested', 'seized', 'captured']"
criminal,"['illegal', 'heavy', 'wrong', 'bent', 'caught', 'dirty']"
ethical,"['honest', 'proper', 'clean', 'correct', 'decent', 'fair', 'fitting', 'good', 'just', 'right', 'square', 'straight']"
cunning,"['knowing', 'smarts', 'smooth', 'deep', 'sharp', 'smart', 'subtle']"
ecological,['green']
seasoned,"['wise', 'accomplished', 'qualified', 'trained', 'practiced', 'tried', 'prepared', 'tested', 'instructed', 'expert', 'familiar', 'pro', 'professional', 'veteran', 'weathered']"
pro,"['for', 'with', 'favoring']"
professional,"['experienced', 'licensed', 'efficient', 'qualified', 'expert', 'sharp', 'able', 'acknowledged', 'finished', 'known', 'learned', 'practiced']"
dated,['old-fashioned']
continuing,"['chronic', 'enduring', 'pursuing', 'permanent', 'persisting', 'progressing', 'maintaining', 'sustaining', 'advancing']"
chronic,"['continuous', 'continuing', 'sustained', 'constant', 'confirmed', 'enduring', 'fixed', 'rooted', 'routine', 'settled', 'usual', 'persisting']"
pursuing,['following']
aware,"['wise', 'conscious', 'informed', 'alive', 'awake', 'familiar', 'knowing', 'sharp', 'grounded']"
mere,"['simple', 'sheer', 'bare', 'minor', 'pure', 'poor', 'entire', 'little', 'plain', 'common', 'small', 'complete', 'very']"
trusting,"['believing', 'innocent']"
animal,"['natural', 'wild', 'physical']"
true,"['perfect', 'genuine', 'normal', 'accurate', 'honest', 'appropriate', 'legitimate', 'pure', 'proper', 'natural', 'correct', 'typical', 'right', 'straight', 'direct', 'fitting', 'regular', 'exact', 'actual', 'legal', 'precise', 'very']"
unfair,"['biased', 'illegal', 'wrong', 'cruel', 'bad', 'base', 'cheating', 'criminal', 'low', 'mean', 'partial']"
biased,[]
specialized,"['functional', 'particular']"
toxic,['deadly']
fatal,"['inevitable', 'final', 'killing']"
assisting,['assistant']
determining,['certain']
literary,"['classical', 'formal', 'learned']"
nursed,"['assistant', 'therapist']"
leveled,"['trim', 'constant', 'even', 'same', 'uniform', 'calm', 'stable', 'flat', 'rolled', 'equivalent', 'plane', 'exact', 'like', 'plain', 'steady', 'regular', 'common', 'straight', 'alike', 'comparable', 'consistent', 'continuous', 'identical', 'precise', 'leveled', 'trimmed']"
rolled,"['curved', 'twisted', 'bowed', 'bent', 'wound', 'folded']"
pressed,"['rushing', 'urged', 'pushed', 'pressured']"
evened,"['alike', 'square', 'constant', 'smooth', 'direct', 'right', 'balanced', 'same', 'stable', 'plane', 'level', 'straight', 'steady', 'equal', 'regular', 'consistent', 'continuous', 'surfaced', 'true']"
balanced,"['fair', 'uniform', 'equivalent', 'just', 'evened']"
level,"['trim', 'constant', 'even', 'same', 'uniform', 'calm', 'stable', 'flat', 'rolled', 'equivalent', 'plane', 'exact', 'like', 'plain', 'steady', 'regular', 'common', 'straight', 'alike', 'comparable', 'consistent', 'continuous', 'identical', 'precise', 'leveled', 'trimmed']"
varying,"['changing', 'flexible', 'uncertain', 'shifting', 'differing']"
drawn,"['peaked', 'tired', 'strained', 'worn', 'thin', 'stressed']"
lay,"['secular', 'ordinary']"
secular,"['civil', 'material', 'lay']"
religious,"['spiritual', 'holy', 'moral', 'sacred', 'theological', 'divine', 'believing', 'pure']"
sacred,"['spiritual', 'divine', 'religious', 'pure']"
theological,['divine']
surface,"['outer', 'shallow', 'top', 'outside', 'covering', 'apparent']"
outer,"['alien', 'beyond', 'outside', 'over', 'remote', 'surface', 'without']"
interior,"['internal', 'remote', 'intimate', 'domestic', 'private', 'secret', 'gut', 'home', 'inner', 'within']"
gut,"['interior', 'intimate', 'natural', 'basic', 'emotional', 'inner', 'internal']"
external,"['foreign', 'independent', 'over', 'surface', 'alien', 'out', 'apparent', 'outer', 'visible']"
out,"['away', 'outside', 'exhausted', 'dead', 'ended', 'finished', 'dated', 'impossible', 'cold', 'old-fashioned']"
standing,"['existing', 'repeated', 'fixed', 'continuing', 'regular']"
encouraged,"['inspired', 'supported', 'determined', 'confident', 'aided', 'cheered']"
inspired,"['influenced', 'started', 'moved', 'excited', 'encouraged', 'stirred', 'motivated']"
sunken,['buried']
blue,['royal']
beat,"['exhausted', 'fatigued']"
rested,"['relaxed', 'recovered', 'awake', 'fresh', 'strengthened']"
recovered,"['returned', 'replaced', 'found', 'regained', 'retrieved']"
dropped,"['released', 'abandoned']"
missed,"['gone', 'lost', 'moved', 'forgotten', 'hidden', 'removed']"
located,"['placed', 'based', 'occupying', 'positioned', 'stationed', 'posted']"
placed,"['fixed', 'located', 'settled', 'rated', 'based', 'stored', 'installed', 'occupying', 'set', 'arranged', 'planted', 'stationed', 'positioned', 'deposited', 'quartered']"
rated,"['graded', 'classified', 'placed', 'estimated', 'measured', 'classed', 'evaluated']"
graded,"['classified', 'ranked', 'ordered', 'grouped', 'indexed']"
ranked,"['rated', 'graded', 'organized', 'stacked', 'arranged', 'piled', 'grouped']"
estimated,"['likely', 'predicted']"
measured,"['consistent', 'uniform', 'regular']"
calculated,"['determined', 'estimated', 'figured']"
intended,"['proposed', 'promised', 'expected', 'calculated', 'planned', 'set', 'steady', 'advised', 'future', 'designed', 'contracted', 'meant', 'contemplated', 'pinned']"
promised,"['guaranteed', 'assured', 'undertaken', 'sworn', 'agreed', 'consented', 'ensured']"
undertaken,"['tried', 'initiated', 'started', 'begun', 'launched', 'ventured', 'attempted', 'tackled']"
begun,"['going', 'proceeding', 'initiated', 'working', 'happening']"
ventured,"['tried', 'tested', 'experimented', 'attempted', 'dared', 'hazarded', 'chanced']"
hazarded,"['risk', 'threat']"
chanced,"['casual', 'happy', 'lucky', 'odd']"
weighed,"['scale', 'measure']"
based,"['established', 'occupying', 'placed', 'stationed', 'positioned', 'planted']"
occupying,"['resting', 'covering', 'sitting', 'placed', 'controlling', 'holding', 'commanding', 'remaining', 'staying', 'possessing', 'obtaining', 'maintaining', 'posted', 'owning']"
sitting,[]
planted,[]
hated,"['condemned', 'offensive', 'avoided']"
complaining,"['critical', 'protesting', 'accusing', 'regretting', 'charging']"
objecting,"['body', 'substance', 'phenomenon', 'commodity', 'matter', 'item', 'something', 'article', 'bulk', 'entity', 'volume', 'mass', 'reality', 'fact']"
intent,"['decided', 'firm', 'set', 'bent', 'watching', 'steady', 'bound', 'deep', 'attending', 'eager', 'absorbed', 'committed', 'concentrated', 'engaged', 'fixed', 'intense', 'occupied', 'settled', 'resolved', 'concentrating', 'minding']"
watching,[]
attending,['ministering']
worked,"['wrought', 'fashioned', 'treated', 'created']"
fashioned,"['intended', 'shaped', 'formed']"
whipped,['punished']
punished,"['dismissed', 'executed', 'corrected', 'whipped', 'sentenced', 'grounded', 'switched', 'lectured']"
stimulated,"['accelerated', 'excited', 'heated']"
left,"['near', 'port']"
receiving,"['gathering', 'getting', 'drawing', 'making', 'collecting', 'acquiring', 'inheriting', 'accepting', 'earning']"
making,"['building', 'manufacturing', 'producing', 'generating', 'constructing', 'forming', 'effecting', 'accomplishing', 'fashioning', 'executing', 'composing', 'shaping', 'creating']"
producing,"['ready', 'productive', 'generating']"
inheriting,"['derive', 'receive', 'acquire', 'obtain', 'succeed', 'get']"
altered,"['corrected', 'modified', 'qualified', 'converted', 'reformed', 'doctored', 'fixed', 'adapted', 'fitted', 'cooked', 'updated', 'transformed', 'adjusted', 'turned']"
modified,"['altered', 'converted', 'fitted', 'adjusted']"
converted,"['changed', 'reformed', 'transformed']"
doctored,"['altered', 'loaded']"
rebuilt,"['built', 'fixed', 'repaired', 'restored']"
righted,"['good', 'legal', 'honest', 'appropriate', 'legitimate', 'proper', 'suitable', 'deserved', 'due', 'merited', 'fitting', 'moral', 'ethical', 'true']"
