contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']","['upset', 'sad', 'unhappy', 'disturbed']"
outstanding,"['superior', 'great', 'dominant', 'impressive', 'well-known', 'famous', 'important', 'distinguished', 'special', 'celebrated', 'chief', 'main', 'major', 'principal', 'star', 'super', 'greatest', 'tops']","['unknown', 'usual', 'OK', 'settled', 'poor', 'little', 'small', 'weak', 'common', 'normal', 'ordinary', 'regular', 'low', 'average', 'paid', 'resolved']"
superior,"['remarkable', 'good', 'exclusive', 'major', 'premium', 'expert', 'over', 'primary', 'choice', 'above', 'capital', 'senior', 'fine', 'distinguished', 'famous', 'preferred', 'prevailing', 'exceeding', 'finer', 'grander', 'more advanced']","['usual', 'minor', 'lower', 'normal', 'ordinary', 'poor', 'bad', 'secondary', 'below']"
exclusive,"['limited', 'sole', 'private', 'licensed', 'absolute', 'unique', 'independent', 'full', 'entire', 'narrow', 'choice', 'chosen', 'single', 'particular', 'total', 'whole', 'closed', 'complete', 'elegant', 'only', 'select']","['old-fashioned', 'divided', 'shared', 'poor', 'open', 'public', 'part', 'partial']"
sole,"['exclusive', 'remaining', 'separate', 'one', 'single', 'individual', 'particular', 'only', 'unique', 'onliest']","['combined', 'together', 'mixed', 'united', 'shared', 'common', 'general', 'ordinary']"
resting,"['sleeping', 'quiet', 'dreaming', 'asleep', 'comfortable', 'relaxing', 'crashed']",['active']
sleeping,"['dreaming', 'asleep', 'crashed']",[]
asleep,"['dreaming', 'resting', 'sleeping', 'crashed']","['awake', 'conscious']"
awake,"['alive', 'aware', 'knowing', 'excited']",['asleep']
alive,"['awake', 'conscious', 'live', 'around', 'breathing', 'dynamic', 'existing', 'growing', 'knowing', 'living', 'running', 'vital', 'working', 'functioning']",['dead']
conscious,"['sure', 'certain', 'informed', 'aware', 'aesthetic', 'assured', 'knowing', 'known', 'noticing', 'noting', 'observing', 'perceiving', 'seeing', 'understanding', 'felt', 'recognizing', 'remarking']",['uncertain']
sure,"['confident', 'clear', 'convinced', 'assured', 'positive', 'constant', 'convincing', 'decided', 'enduring', 'firm', 'fixed', 'genuine', 'persuaded', 'real', 'satisfied', 'set', 'steady', 'telling', 'valid']","['uncertain', 'variable', 'doubted']"
confident,"['sure', 'bold', 'positive', 'satisfied', 'convinced', 'brave', 'secure', 'trusting', 'expecting', 'racked']","['uncertain', 'afraid', 'shy', 'weak', 'depressed', 'sad']"
bold,"['daring', 'forward', 'assuming']","['retiring', 'afraid', 'shy', 'weak', 'quiet', 'faint', 'fair', 'light']"
daring,"['bold', 'smart', 'forward', 'game', 'brave']","['careful', 'afraid', 'shy', 'weak', 'chicken']"
smart,"['good', 'wise', 'bold', 'brilliant', 'bright', 'quick', 'sharp', 'knowing', 'skull', 'pointed', 'genius', 'ready', 'effective', 'fresh']","['stupid', 'typical', 'honest', 'worn', 'light', 'dark', 'normal', 'slow', 'old']"
wise,"['experienced', 'careful', 'educated', 'informed', 'aware', 'rational', 'smart', 'sound', 'knowing', 'understanding', 'grasping', 'sharp', 'cunning', 'calculating', 'taught', 'sensing']","['stupid', 'kind']"
experienced,"['wise', 'capable', 'veteran', 'sophisticated', 'accomplished', 'qualified', 'seasoned', 'trained', 'professional', 'rounded', 'tried', 'instructed', 'tested', 'practiced', 'sport', 'expert', 'familiar', 'old', 'practical', 'pro']","['unable', 'green']"
capable,"['experienced', 'suited', 'talented', 'efficient', 'gifted', 'able', 'accomplished', 'good', 'qualified', 'adequate', 'intelligent', 'adapted', 'fitted', 'proper', 'veteran']","['unable', 'stupid', 'green', 'weak']"
suited,"['appropriate', 'suitable', 'fitted']",[]
appropriate,"['relevant', 'useful', 'fitting', 'good', 'proper', 'correct', 'belonging', 'right', 'fit', 'deserved', 'becoming', 'adapted', 'due', 'just', 'true', 'desired']",['evil']
relevant,"['suited', 'consistent', 'related', 'important', 'significant', 'proper', 'suitable', 'becoming', 'concerning', 'correspondent', 'fit', 'fitting', 'material', 'pat', 'referring', 'relative']",[]
consistent,"['steady', 'logical', 'rational', 'even', 'expected', 'same', 'uniform', 'true']","['disagreeing', 'varying']"
steady,"['constant', 'solid', 'reliable', 'safe', 'substantial', 'regular', 'even', 'firm', 'set', 'uniform', 'enduring', 'certain', 'sure', 'patterned']","['vulnerable', 'different', 'flexible', 'soft', 'moving', 'weak', 'broken']"
constant,"['consistent', 'steady', 'regular', 'stable', 'even', 'firm', 'uniform', 'permanent', 'connected', 'together']","['temporary', 'interrupted', 'changing', 'varying', 'concluding', 'flagging', 'broken', 'different', 'ending', 'stopping']"
regular,"['formal', 'daily', 'traditional', 'legitimate', 'routine', 'proper', 'ordinary', 'typical', 'everyday', 'usual', 'natural', 'classic', 'official', 'standard', 'general', 'approved', 'correct', 'established', 'prevailing', 'sanctioned']","['unusual', 'special', 'extraordinary', 'changing', 'variable', 'different', 'rare']"
formal,"['precise', 'academic', 'explicit', 'legal', 'strict', 'proper', 'express', 'set', 'official', 'regular', 'ritual', 'approved', 'confirmed', 'conventional', 'directed', 'fixed', 'stereotyped']","['informal', 'ordinary', 'relaxed', 'normal']"
academic,"['intellectual', 'university', 'college', 'learned']","['ordinary', 'plain', 'practical', 'simple']"
intellectual,"['mental', 'creative', 'psychological', 'rational', 'intelligent', 'learned']","['stupid', 'body', 'physical', 'simple']"
mental,"['spiritual', 'intellectual', 'psychological', 'deep', 'heavy', 'inner', 'mysterious', 'rational', 'reasoning', 'thinking']","['physical', 'body', 'balanced']"
spiritual,"['divine', 'sacred', 'holy', 'pure']",['physical']
divine,"['spiritual', 'holy', 'sacred', 'wonderful', 'religious', 'beautiful', 'excellent']",['ordinary']
holy,"['spiritual', 'pure', 'divine', 'perfect', 'good', 'clean', 'believing', 'innocent', 'moral', 'blessed', 'dedicated', 'devoted', 'just']","['evil', 'uncertain', 'bad']"
pure,"['real', 'perfect', 'natural', 'classic', 'simple', 'plain', 'bright', 'neat', 'clear', 'complete', 'fair', 'straight', 'total', 'true']","['complicated', 'vague', 'mixed', 'uncertain', 'applied', 'false', 'complex', 'difficult', 'decorated', 'dark', 'dirty']"
real,"['actual', 'evident', 'solid', 'certain', 'substantial', 'positive', 'legitimate', 'honest', 'physical', 'original', 'absolute', 'sound', 'firm', 'right', 'material', 'concrete', 'stable', 'essential', 'present', 'existing', 'live', 'valid', 'true']","['hidden', 'uncertain', 'vague', 'spiritual', 'false', 'mental', 'flexible']"
actual,"['certain', 'substantial', 'physical', 'absolute', 'concrete', 'confirmed', 'genuine', 'hard', 'positive', 'realistic', 'true']","['uncertain', 'spiritual', 'pretended', 'theoretical', 'mental', 'false', 'past']"
certain,"['positive', 'sure', 'convinced', 'assured', 'believing', 'calm', 'satisfied', 'secure']","['uncertain', 'doubting']"
positive,"['specific', 'confident', 'clear', 'real', 'firm', 'express', 'rank', 'concrete', 'perfect', 'absolute', 'actual', 'assured', 'complete', 'convinced', 'decided', 'direct', 'explicit', 'genuine', 'hard', 'sure']","['uncertain', 'vague', 'negative', 'flexible', 'yielding']"
clear,"['sunny', 'fair', 'light', 'crystal', 'fine', 'shining', 'pleasant']","['mysterious', 'vague', 'guilty', 'uncertain', 'dark', 'blocked', 'closed', 'clouded', 'responsible']"
fair,"['civil', 'proper', 'generous', 'decent', 'objective', 'good', 'reasonable', 'legitimate', 'equal', 'honest', 'clean', 'square', 'just', 'open', 'straight', 'moderate']","['biased', 'illegal', 'unfair', 'lying', 'mean', 'partial', 'decided', 'dark', 'ugly']"
civil,"['local', 'domestic', 'national', 'civilian', 'home', 'interior', 'municipal', 'political', 'public']",['foreign']
local,"['regional', 'town', 'limited', 'neighborhood', 'district', 'parish', 'narrow', 'civic']","['broad', 'liberal', 'foreign']"
urban,"['downtown', 'civil', 'metropolitan', 'civic', 'central', 'municipal', 'popular', 'public', 'town', 'village']","['country', 'rural', 'suburban']"
downtown,"['urban', 'main', 'central', 'metropolitan', 'business']","['country', 'minor', 'rural', 'suburban', 'secondary']"
central,"['key', 'important', 'fundamental', 'basic', 'significant', 'essential', 'prime', 'dominant', 'center', 'radical', 'primary', 'middle', 'chief', 'master', 'ruling', 'leading', 'interior', 'mean', 'inner', 'outstanding']","['minor', 'additional', 'extra', 'outer', 'secondary', 'outside', 'extreme']"
key,"['major', 'leading', 'crucial', 'primary', 'vital', 'fundamental', 'basic', 'main', 'principal', 'chief', 'material']","['lesser', 'minor', 'additional', 'extra', 'secondary']"
leading,"['dominant', 'outstanding', 'top', 'well-known', 'famous', 'popular', 'prominent', 'main', 'noted', 'best', 'principal', 'initial', 'champion', 'primary', 'governing', 'dominating', 'ruling', 'first', 'highest', 'greatest']","['unknown', 'least', 'extra', 'minor', 'last', 'secondary', 'low', 'ordinary', 'final']"
top,"['finest', 'dominant', 'leading', 'primary', 'excellent', 'elite', 'principal', 'prime', 'superior', 'head', 'lead', 'upper', 'crack', 'maximum', 'chief', 'outside', 'ruling', 'capital', 'fine', 'first', 'greatest']","['lower', 'minor', 'least', 'lowest', 'secondary', 'poor', 'bad', 'below', 'low']"
primary,"['prime', 'dominant', 'leading', 'initial', 'constitutional', 'vital', 'immediate', 'underlying', 'fundamental', 'elementary', 'main', 'essential', 'principal', 'simple', 'central', 'chief', 'first', 'direct', 'earliest']","['last', 'advanced', 'extra', 'minor', 'secondary', 'sophisticated']"
initial,"['original', 'basic', 'opening', 'leading', 'pioneer', 'infant', 'initiative', 'fundamental', 'first', 'earliest', 'early', 'elementary']","['following', 'last', 'closing', 'final']"
original,"['initial', 'prime', 'infant', 'opening', 'beginning', 'primary', 'pioneer', 'starting', 'first', 'early', 'elementary', 'genuine']","['last', 'latest', 'borrowed', 'used', 'worn', 'newest', 'old']"
pioneer,"['prime', 'head', 'brave', 'lead', 'initial', 'primary', 'original', 'experimental']","['following', 'last', 'later', 'secondary', 'late']"
head,"['prime', 'champion', 'principal', 'leading', 'pioneer', 'front', 'main', 'first', 'highest']","['extra', 'least', 'minor', 'last', 'lower', 'second', 'secondary', 'final']"
champion,"['super', 'prime', 'superior', 'head', 'choice', 'first', 'chief', 'capital', 'cool', 'distinguished', 'principal', 'outstanding', 'tops', 'greatest']","['lower', 'minor', 'least', 'extra', 'worst', 'bad', 'poor', 'secondary', 'poorest']"
super,"['great', 'outstanding', 'terrific', 'divine', 'neat', 'wonderful']","['ordinary', 'bad', 'poor']"
terrific,"['great', 'huge', 'tremendous', 'terrible', 'horrible', 'awful', 'enormous', 'excessive', 'extreme', 'fierce', 'harsh', 'large', 'severe', 'shocking', 'upsetting']","['pleasant', 'pleasing', 'wonderful', 'tiny', 'little', 'minute', 'small', 'good', 'calm', 'moderate', 'bad', 'low', 'nasty', 'poor']"
extreme,"['severe', 'intense', 'top', 'maximum', 'high', 'ultimate', 'highest']","['least', 'lowest', 'calm', 'mild', 'moderate', 'low', 'limited', 'close', 'near']"
severe,"['serious', 'harsh', 'strict', 'biting', 'close', 'cold', 'cruel', 'cutting', 'firm', 'forbidding', 'grave', 'hard', 'resolved']","['kind', 'friendly', 'willing', 'compromising', 'calm', 'easy', 'mild']"
serious,"['genuine', 'honest', 'severe', 'bound', 'determined', 'grave', 'intent', 'set', 'staid', 'steady', 'resolved']","['minor', 'false', 'funny', 'happy', 'light']"
genuine,"['natural', 'positive', 'honest', 'certain', 'legitimate', 'pure', 'absolute', 'accurate', 'actual', 'exact', 'good', 'hard', 'official', 'original', 'plain', 'precise', 'proved', 'sound']","['uncertain', 'false', 'affected']"
natural,"['logical', 'legitimate', 'reasonable', 'ordinary', 'usual', 'essential', 'common', 'constant', 'familiar', 'universal', 'general', 'regular', 'characteristic', 'uniform', 'native', 'anticipated', 'consistent', 'indigenous', 'inherent', 'prevailing', 'typical']","['extraordinary', 'unusual', 'changing', 'pretended', 'rare', 'foreign', 'particular', 'different', 'affected', 'artificial', 'fixed', 'modified']"
logical,"['relevant', 'necessary', 'consistent', 'convincing', 'valid', 'obvious', 'legitimate', 'rational', 'compelling', 'intelligent', 'wise', 'clear', 'fair', 'sound', 'subtle', 'telling']","['unlikely', 'vague', 'stupid']"
necessary,"['fundamental', 'required', 'crucial', 'needed', 'vital', 'significant', 'basic', 'prime', 'binding', 'chief', 'pressing', 'principal', 'compelling', 'elementary', 'specified', 'wanted']","['voluntary', 'additional', 'extra', 'minor', 'secondary']"
fundamental,"['major', 'crucial', 'constitutional', 'theoretical', 'underlying', 'necessary', 'vital', 'significant', 'radical', 'elementary', 'central', 'principal', 'essential', 'structural', 'prime', 'supporting', 'organic', 'bottom', 'primary', 'key', 'original', 'first', 'sustaining']","['lesser', 'minor', 'least', 'learned', 'additional', 'advanced', 'extra', 'secondary']"
crucial,"['deciding', 'necessary', 'pressing', 'compelling', 'vital', 'central', 'essential', 'desperate', 'searching']","['voluntary', 'minor', 'secondary']"
deciding,"['prime', 'chief', 'necessary', 'key', 'principal', 'critical', 'crucial', 'important', 'influential', 'significant']","['minor', 'secondary']"
chief,"['prime', 'leading', 'main', 'principal', 'superior', 'head', 'star', 'champion', 'grand', 'major', 'primary', 'ruling', 'key', 'capital', 'telling', 'central', 'first', 'controlling', 'crucial', 'effective', 'highest', 'outstanding', 'significant', 'vital']","['extra', 'minor', 'lower', 'secondary', 'bad', 'poor']"
star,"['major', 'dominant', 'leading', 'celebrated', 'chief', 'capital', 'main', 'principal', 'brilliant', 'outstanding', 'prominent', 'talented', 'well-known']","['lesser', 'minor', 'extra', 'unknown', 'secondary']"
celebrated,"['great', 'important', 'large', 'outstanding', 'popular', 'prominent', 'well-known']","['unknown', 'plain']"
important,"['great', 'relevant', 'necessary', 'extensive', 'influential', 'big', 'crucial', 'large', 'vital', 'critical', 'significant', 'serious', 'meaningful', 'essential', 'chief', 'considerable', 'determining', 'grave', 'heavy', 'marked', 'material', 'pressing', 'primary', 'principal', 'signal', 'something']","['voluntary', 'tiny', 'minor', 'unknown', 'little', 'short', 'small', 'weak', 'narrow', 'secondary']"
extensive,"['huge', 'comprehensive', 'major', 'large', 'broad', 'sweeping', 'considerable', 'vast', 'big', 'extended', 'general', 'great', 'long', 'universal', 'wide', 'widespread', 'expanded', 'comprising']","['tiny', 'exclusive', 'restricted', 'limited', 'narrow', 'little', 'small', 'slight', 'short']"
comprehensive,"['full', 'complete', 'broad', 'global', 'overall', 'sweeping', 'extensive', 'blanket', 'general', 'whole', 'absolute', 'wide', 'widespread', 'comprising', 'containing']","['restricted', 'specific', 'exclusive', 'empty', 'short', 'narrow', 'limited', 'partial', 'particular']"
full,"['entire', 'complete', 'crowded', 'big', 'sufficient', 'adequate', 'intact', 'packed', 'bursting', 'satisfied', 'padded', 'burdened', 'loaded', 'stuffed', 'stocked']","['lacking', 'wanting', 'hungry', 'empty']"
entire,"['full', 'integrated', 'sound', 'gross', 'perfect', 'total', 'absolute', 'all', 'continuous', 'intact']","['part', 'partial', 'limited']"
open,"['accessible', 'wide', 'clear', 'free', 'exposed', 'stripped', 'cleared', 'bare', 'rent', 'removed', 'patent', 'extended', 'rolling', 'uncovered', 'extensive', 'naked', 'emptied', 'unfolded', 'disclosed', 'peeled', 'revealed', 'expanded']","['restricted', 'locked', 'vague', 'lying', 'limited', 'closed', 'shut', 'blocked', 'certain', 'decided', 'sure']"
accessible,"['available', 'exposed', 'near', 'open', 'possible', 'public']","['restricted', 'limited']"
available,"['accessible', 'possible', 'free', 'prepared']","['unlikely', 'limited', 'occupied', 'impossible']"
possible,"['available', 'potential', 'dependent', 'welcome', 'snap', 'accessible', 'promising', 'uncertain']","['unlikely', 'impossible']"
potential,"['likely', 'hidden', 'possible', 'future', 'implied', 'inherent']","['unlikely', 'lacking', 'impossible']"
likely,"['fair', 'possible', 'reasonable', 'expected', 'acceptable', 'anticipated', 'favorite', 'promising', 'rational', 'seeming', 'tending', 'true', 'assuring']","['unlikely', 'impossible']"
reasonable,"['fair', 'cheap', 'proper', 'honest', 'valid', 'rational', 'objective', 'acceptable', 'modest', 'legitimate', 'average', 'conservative', 'fit', 'just', 'knowing', 'okay', 'right', 'sound', 'controlled']","['biased', 'unfair', 'unlikely', 'expensive', 'stupid', 'partial', 'assured', 'bold']"
cheap,"['reasonable', 'competitive', 'budget', 'buy', 'moderate', 'reduced', 'sale', 'standard', 'steal', 'utility', 'lowered']","['expensive', 'excellent', 'valuable', 'costly', 'dear', 'precious', 'superior', 'sophisticated', 'upper']"
competitive,"['aggressive', 'ambitious', 'opposing', 'rival', 'competing']",[]
aggressive,"['threatening', 'disturbing', 'offensive', 'advancing', 'attacking', 'invading']",['calm']
offensive,"['horrible', 'shocking', 'gross', 'cutting', 'evil', 'biting', 'terrible']","['pleasant', 'pleasing', 'kind', 'welcome', 'moral', 'honest', 'defensive', 'nice', 'good', 'clean', 'defending', 'guarding']"
